text (S),location (S),phase (S),sentiment (S)
tv channels please dedicate 1 hour per day good session doctor share home remedies tell one minimize infection tell increase immunity enough showing infected ppl count repeatedly coronaviruscoronavirus,bangalore,1,NEUTRAL
uk citizens banned travel us trump check spread covid19 covid 19 spreads unchecked carriers covid 19 manifest symptoms 5 days infected 5 days infect others unknowingly thus covid 19 spreads unchecked,kolkata,0,NEGATIVE
unfortunate saviours r safe urge every1 responsible every possible way leave home unavoidable may ease life save someone remember family mumbaipolice mumbaipolice coronawarriors coronavirusmumbaipolice coronawarriors coronavirus,mumbai,1,NEGATIVE
united states hands full corona crisis amp desist issuing mischievous reports track record blurred amp introspection needed domestic front indian minorities much safer amp shud tune fake news,mumbai,1,NEUTRAL
urgent please request corona virus face medical mask hit china create new history clean treated mybmcwardgn uddhavthackeray authackeray varshaegaikwad fayedsouza anjanaomkashyap,mumbai,0,NEUTRAL
vt news newspaper 29 06 2020 promotions scroll legal notice envelope follow us arrow instagram https instagram com virtualtimes news daily igshid 1dc0h21sopvev helo app https helo app com al qmkfzxqnm sports covid19 stayhomesavelives – nagarvt sports covid19 stayhomesavelives,chennai,1,NEUTRAL
vt news newspaper 29 07 2020 promotions scroll legal notice envelope follow us arrow instagram https instagram com virtualtimes news daily igshid 1dc0h21sopvev twitter https twitter com dailyvt 09 youtubehttps www youtube com channel ucuftiwvnwqlpjatkjjh1hpq lockdownextension lockdown covid19india stayhomestaysafe – nagarvt lockdownextension lockdown covid19india stayhomestaysafe,chennai,2,NEUTRAL
wait two three days see actual result actually banned ’ gain publicity hide truth china entry ladakh india like twenty lacs cr package corona अगरआपजिंदाहैंतोदेशकीआवाजबनें india folded hands light skin tone,delhi,1,NEGATIVE
wear mask maintain social distancing ’ fine go work able feed contribute gdp well ’ really easy,kolkata,1,NEUTRAL
west bengal ’ suffering pandemic attributed effective investment health sector past decade west bengal really need cm minimal foresight করোনায়ব্যর্থমমতা,kolkata,2,NEGATIVE
wi 12 0 loss 11 drawn 1 win percent 0 sl 17 3 lost 12 drawn 2 win percent 17 64,delhi,0,NEUTRAL
yes bengaluru 1 traffic jam migrants lots problems suggestions pls leave karnataka right immigrantsquitkarnatakaimmigrantsquitkarnataka,bangalore,0,NEUTRAL
ysjagan sir awestruck ur ap fight covid treatment care amazing sir words express ap blessed hv u cm last word sleep salute reign cm last long may 30 years,hyderabad,2,POSITIVE
yup really need break social media especially ever,chennai,1,NEGATIVE
நீ born லுசா இல்ல லுசு மாதிரி நடிக்கிறயா try kilpauk chennai lot people like please settle already pained corona rss bjp ’ keep adding fuel fire also try “ kailasha ” friend nithyananda welcome,chennai,1,POSITIVE
1370 people china died far coronavirus main concern stop virus attacking anyone unfortunately preventive measures taken far failed job 1000 new cases reported everyday,kolkata,0,NEGATIVE
6 months pandemic realdonaldtrump wore mask finally change face tears joy,hyderabad,2,NEUTRAL
admirable job kolkata customs folded hands medium light skin tone,kolkata,1,POSITIVE
ah ifhow outrageous brutalized bastard bestial creatures art oblivious toreal sombre conditions abroad savaged shew nosigns ofmoral compunction ye worlds aghast jewrys sheer disregard int community concerns cares thus art ata loss words agape incredulity – dosa point,hyderabad,1,NEGATIVE
amazing fun corona optus gurugram haryana https www swarmapp com c kusuqqmbdgc,delhi,0,POSITIVE
ankushnarang ji hv 1heart hw manytimes u winmy red heart selector u r gr8 job thz humanity amp humanity realreligion aslongas person lyk u thz globe showing europe africa god keep human species alive world v humans continue 2 help humans service2human service2god,delhi,1,NEUTRAL
announced covid 19 pandemic pm modi arranged welcoming program trump spending 100 crores public money allowed thousands american country screenings ahmedabad facing huge spreading virus trump carrier corona blocked modi,kolkata,1,NEUTRAL
apealed chief minister maharashtra state health minister amp collector solapur district issues nabhik samaj hair saloons amp beauty parlors centres,hyderabad,1,NEUTRAL
arogyaandhra sir sk university anantapur father admitted corona treatment today 3pm took form home 11am till food treatment given many people location suffering plz dont treat patients like request quick help andhrafightscoronaandhrafightscorona,chennai,2,NEUTRAL
asian journal medical sciences vol 11 4 published invite readers go contents https www nepjol info index php ajms issue view 1955 asianjournalofmedicalsciences covid19 issue online publication doaj academia academics research probiotics respiratory lockdownasianjournalofmedicalsciences covid19 issue online publication doaj academia academics research probiotics respiratory lockdown,kolkata,1,NEUTRAL
best knowledge cancelled ipl postponed 15th april played indoors tv revenue still loss stadium revenue,chennai,1,NEGATIVE
bjp guys comments shows much paid artists working social media next elections bjp like congress right caste politics otherwise one vote,hyderabad,1,NEUTRAL
booked bed erragadda mental hospital go admit,hyderabad,2,NEUTRAL
boom come suddenly surprise country infamous hiding numbers facts coronavirusupdates coronavid19 coronaviruscoronavirusupdates coronavid19 coronavirus,bangalore,0,NEGATIVE
china takes 10 days build hospital 2000 people flyover ejipura koramangala 2 years counting shame political community zero commitment people bangalore shame people questioning inefficiencies,bangalore,0,NEGATIVE
coming abroad coronavirus infection get vvip treatment whereas poors victims covid19 r left fend amp paying lives belongings face lathis get essentials great injustice,kolkata,1,NEGATIVE
corona cases india india india smiling face smiling eyes slowing smiling face smiling eyes covid19 coronavirus coronavaccinecorona covid19 coronavirus coronavaccine,hyderabad,2,NEUTRAL
corona got ipl postponed see got brave face tears joy face tears joy face tears joy,chennai,0,NEUTRAL
corona virus never go away till find medicine till time narendramodi ji shd bring strict law curb spreading wearing mask shd compulsory banning spitting roads maintain social distance hand shake allowing normal life taking care,bangalore,1,NEUTRAL
corona wild fires cyclone locust attack etc today add earthquake list next india alien attack ’ thing pending guess kar lo wo bhi 2020 zindabaad whatahorribleyearcorona earthquake whatahorribleyear,chennai,1,NEGATIVE
coronavirus impact stock market stay home stocks buzzing holding nasdaq dowjones disney cbs apple cisco cnbcprimetvcoronavirus,mumbai,0,NEUTRAL
coronavirus live news donald trump says us ending relationship,mumbai,1,NEUTRAL
coronaviruslockdown combined immediate loss daily wages storm socio economic exclusion livelihood loss public health hazards due contagion risks brewing team writes current situation migrants indiaspendcoronaviruslockdown migrants,hyderabad,1,NEUTRAL
covid 19 lockdown ruin us strengthen social distancing rules enact public health prevention control management epidemics bio terrorism disasters bill 2017 state govs consultation narendramodicovid 19,kolkata,2,NEUTRAL
democratic country grant citizenship illegal migrants likewise india grant citizenship pakistani bangaladeshi intruders hence patrioticindianssupportcaapatrioticindianssupportcaa,delhi,0,NEUTRAL
disgusting health care workers demand ppes modi ji pmoindia dont advice state government take administration seriously,bangalore,2,NEGATIVE
dr nurses health workers,kolkata,1,NEUTRAL
drbeelaias plz share price covid 19 private hospital detailed plz mam,chennai,1,NEUTRAL
ellarigu nanna namaskaragalu corona virus india reached 90 nos public requesting govt protection place screening free mask sanitares amp stop airways coming amp going amp pls spre camical places including villages avaid,bangalore,0,NEUTRAL
feeling bad today kashmir completed 200days shutdown worlds longest ever lockdown kashmir sufferrs lost homes jobs business lives families lost positions jailed psas kashmir lost identity zimmedar kounkashmir shutdown,hyderabad,0,NEGATIVE
given misery migrant workers face hands bjp government centre astonishing party would choose cause prolonged pain altering law put place protect भाजपा का जंगलराज,kolkata,2,NEGATIVE
good job sir thumbs,hyderabad,2,POSITIVE
good move night curfew many foreign mnc back office start working yoga gym allowed 5 aug schools college amp coching shut strict lockdown contaminated zones unlock3unlock3,mumbai,2,NEUTRAL
government considers felling trees mining coal drilling petroleum oil burning natural gas sustainable millions people already become victims recklessness corona much less threat environmental pollution,mumbai,0,NEGATIVE
govt busy clapping bursting crackers celebrating loss poor,bangalore,1,MIXED
govt hospital,bangalore,0,NEUTRAL
heartbreaking video little boy seen asleep suitcase migrant parents take long journey home punjab uttar pradesh migrantlabourers corornaviruslockdownmigrantlabourers corornaviruslockdown,kolkata,1,NEUTRAL
https chingari io share post id 5f21b2efa80cba09353796ce dont miss chance share talent world win coins hit share button share post social media download http bit ly get chingari app chingari,bangalore,2,NEUTRAL
hunt patient zero spread coronavirus globally,chennai,0,NEUTRAL
hurts breakup thinking face 1 unemployed 2 low bank balance 3 misunderstandings 4 ignored best friends 5 failed education 6 seen reply 7 last day clg job 8 failed meet parent expectations breakup nothng infrnt thse incidnts love breakuplove breakup,hyderabad,2,NEGATIVE
hwhcitypolice complete rumours panic around w r curfew imposed liluah 10 onwards tomorrow kindly clarify essential commodities medicines emergency toikolkata hmoindia,kolkata,1,NEUTRAL
iamsumande coronavirus india lockdown day 127 live updates mha announces guidelines unlock 3 schools colleges remain closed till aug 31,kolkata,2,NEUTRAL
if… way make sense information covid19 could discover cure quickercovid19,mumbai,1,NEUTRAL
incidentally three topics r easy trigonometry formulae r b computed understand n practice social science comprehension discuss grammar practice overall comprehension n practice must,kolkata,1,NEUTRAL
